,lm,dt,rf,lgb,xgboost
0,210.43372324113292,160.16753925259252,149.1042913551857,150.07945218692717,140.06602376607864
1,208.94052383474178,159.30597885679117,148.87422097239482,150.75028585406847,140.42656406017292
2,211.35770715123004,163.87900210241682,152.12134596890283,153.06273220972142,143.22825371842973
3,212.13890919778973,160.9215405850785,149.8107126864241,151.6992652473996,141.08193047569804
4,208.76771243482577,159.5147523839351,148.5550661831495,150.95739496116278,140.7871331632787
